id;crm_oppurtunity_id;oppurtunity_created_date;crm_customer_id;bdm_name;bdm_id;dse_id;dse_name;account_type;account_name;account_site;vehicle_class;vehicle_variant;engine_capacity;fuel_tank_capacity;wheel_base;power;gvw_weight;payload_weight;ex_show_room_price;on_road_price;lob;ppl;pl
1;Forward Administrator;2022-04-21;97469;application 1080p Trace;User-friendly Florida;one-to-one;Brand Liaison;Tennessee Cuba Developer;Auto Loan Account;e-enable;Danish bypassing;Idaho Handcrafted;interactive application;enable;indigo visualize Peso;Zloty;bypass Program visualize;Credit;85740;33313;Plains Salad Lake;generating;EXE Coordinator Uganda
2;Salad dynamic;2022-04-20;20561;redefine seize;real-time Practical monitor;B2C copy Forward;Toys payment;Romania morph navigating;Checking Account;matrices bypass Open-architected;Movies SDD Money;Rustic;Representative;Dale;models Arizona;firewall Licensed;Central JSON;compressing;99467;83581;protocol Fresh;Specialist open-source;program
3;Investment;2022-04-20;60988;technologies capacitor;Bedfordshire Bedfordshire;whiteboard Cotton Card;Persevering black;Officer;Auto Loan Account;Oklahoma Rupee;Cambridgeshire deliverables didactic;strategic Buckinghamshire Home;Principal South;superstructure Account Health;hard Island digital;Fresh mint Supervisor;Won Cambridgeshire;payment Sports firmware;30734;86713;Avon GB Canada;Adaptive ability;solution-oriented
4;SCSI Squares;2022-04-21;94416;Gorgeous Arizona Generic;Chair Car;Ball Bedfordshire Liberia;Bedfordshire;communities Madagascar Wooden;Auto Loan Account;Borders Serbia override;Mississippi firewall Market;Tasty;24/365;Checking primary;grey extranet FTP;Roads;Generic;bypassing evolve Buckinghamshire;42913;43031;withdrawal;purple motivating Senior;action-items Crossroad
5;Principal payment secured;2022-04-21;52779;Account;synergy;Platinum Palladium;Chief Cotton;Tools invoice utilisation;Auto Loan Account;Practical utilize Account;back grow Dynamic;Fantastic Digitized synergize;Officer firmware;violet;Awesome Buckinghamshire pricing;Borders withdrawal HDD;Compatible;Paradigm networks Money;62947;82133;matrix invoice;Computers Plastic withdrawal;programming bandwidth Buckinghamshire
6;primary challenge;2022-04-21;91104;Kids bricks-and-clicks;Group payment;Solutions;microchip;GB Regional implement;Investment Account;Generic open-source;index;e-services visionary Savings;modular Developer;Functionality Granite Money;Berkshire homogeneous;Maine B2C;Wooden Keyboard;Profound Buckinghamshire;45298;65520;Tasty technologies;Clothing;XML Operations Parkway
7;Concrete;2022-04-21;30321;Loan Senior Handmade;quantify navigating Refined;HDD;copying HTTP tertiary;Checking Architect Clothing;Credit Card Account;seize;frictionless copy transmit;JBOD;secondary Cambridgeshire Aruban;Home Shoes;Legacy RSS;Consultant;payment Consultant object-oriented;Tennessee;51739;98897;Investor Dominican disintermediate;Hong;collaboration salmon
8;mobile;2022-04-21;914;pixel primary Beauty;Computers Lucia Concrete;Account;invoice Unit attitude;Mission;Investment Account;Account Ireland Buckinghamshire;Cambridgeshire;quantifying;Ball Planner;Vermont Soft Frozen;Burundi 24 Credit;overriding;Supervisor;directional Computers;1856;86533;Wooden Colombia Port;reintermediate auxiliary;Oklahoma transitional
9;circuit calculate Tasty;2022-04-21;46272;interactive supply-chains connecting;Licensed Dynamic;e-business;product microchip Bedfordshire;Data;Home Loan Account;Borders HDD;deposit Iceland;Rubber Rubber Avon;Identity iterate program;Buckinghamshire;backing Generic;Loan;Intelligent mobile Loan;adapter intuitive backing;18609;459;Steel Legacy invoice;indexing gold;invoice Burundi JBOD
10;B2B Bike;2022-04-21;60116;Account;e-business;Seamless;Frozen azure;Intelligent;Checking Account;Paradigm tan Wooden;Music;Home index Utah;payment;Towels state B2C;Checking payment;Garden;bypassing card redefine;Steel;38116;27654;RSS program uniform;Solutions Overpass Car;driver Handcrafted
